,0,Handle,ID,CreatedAt,Location
3580,RT @petras_petras: Belarus Solidarity Day ir #Brussels. #ZhyvieBelarus! https://t.co/Mp1WTHMjbc,GaurivanGulik,1357386255714115587,2021-02-04 17:51:17,
3581,"The audacity of hope.
https://t.co/miWa04JELX",GaurivanGulik,1357069269822033923,2021-02-03 20:51:41,
3582,"RT @KvanOosterom: Internationally, we the Dutch are seen to be direct and blunt. 
Our checklist for travel to the Netherlands lives up to t…",GaurivanGulik,1356411441990004738,2021-02-02 01:17:43,
3583,"RT @NaomiOhReally: Massive mess up by the Commission but these headlines are really misleading.
Makes it seem like EU wanted to block the N…",GaurivanGulik,1355242388508332036,2021-01-29 19:52:19,
3584,RT @graciemaybe: this is fantastic! the #stansted15 should never have been convicted. onwards with the work to end mass deportations ✊🏾👏🏾 h…,GaurivanGulik,1355006374313390083,2021-01-29 04:14:29,
3585,"RT @libertyhq: This incident was caught on camera, but police overreach has been seen throughout the pandemic.

You can’t police your way o…",GaurivanGulik,1354802164225486848,2021-01-28 14:43:01,
3586,RT @violadavis: I'm devastated. My heart is just broken. I loved you so much!! You were everything to me! You made me feel loved and seen a…,GaurivanGulik,1354545986509692939,2021-01-27 21:45:04,
3587,"RT @DrPragyaAgarwal: Who made this? And who approved it? 
Heteronormative. 
Reinforcing the view that it is a woman’s job to homeschool, cl…",GaurivanGulik,1354527732542169093,2021-01-27 20:32:32,
3588,"RT @the_hope_guy: During lockdown, I have a running project to visit every single one of Berlin's 8000+ ""stumbling stones"" for victims of t…",GaurivanGulik,1354439786098995200,2021-01-27 14:43:03,
3589,RT @the_hope_guy: That is why the #Stolpersteine project is so important. You can read the Jacobs' full story on their website: https://t.c…,GaurivanGulik,1354077394399850496,2021-01-26 14:43:03,
3590,"RT @InterwebzNani: This is such an honour –– where is the ""blush"" emoji? 🙈

I am very much looking forward to the Symposium, which features…",GaurivanGulik,1353821207087489024,2021-01-25 21:45:03,
3591,RT @Dunja_Mijatovic: Estonia to become the only country in the world with a female president and female prime minister https://t.co/mZRQ1tZ…,GaurivanGulik,1353715004898496520,2021-01-25 14:43:02,
3592,"RT @teewai_toyin: .@luminategroup is looking for a Financial Transparency Associate to be based in one of our offices around the world, inc…",GaurivanGulik,1352272823813890055,2021-01-21 15:12:19,
3593,"Timeline palate cleanser. Watch, feel what this would feel like, then watch again. https://t.co/34IBbwKJMJ",GaurivanGulik,1332063301497466880,2020-11-26 20:46:54,
3594,RT @KateRaworth: Delighted that Doughnut Economics is featured in TIME magazine in the first week of the Biden-Harris administration. Let's…,GaurivanGulik,1330354824609738758,2020-11-22 03:38:01,
3595,RT @Wolfe321: Hard to fathom all the talk of “cancel culture” on my timeline while I’m left without an income during a pandemic. I’m not an…,GaurivanGulik,1316823455371755524,2020-10-15 19:29:11,
3596,"RT @NoYardstick: I'll keep updating this map with further data as media estimates the number of protesters in each city.

https://t.co/bDrA…",GaurivanGulik,1303106645652918274,2020-09-07 23:03:29,
3597,"The brilliant @TheAmandaGorman was told by a white dude ""your poetry is too confident"". https://t.co/0Jre5wGkkq",GaurivanGulik,1287387637817409546,2020-07-26 14:01:46,
3598,"RT @GlitchUK_: ""There's got to be other ways that we can raise awareness of racial injustice...""

We're super proud of Glitch Director, @Se…",GaurivanGulik,1282861308401115137,2020-07-14 02:15:44,
3599,"RT @lisamwitter: This👇is true no matter which party you support. If you agree, sign-up for our @ApoliticalAcadG upcoming ""Building Better P…",GaurivanGulik,1282827312996786177,2020-07-14 00:00:39,
3600,"RT @mattkorda: 🆕 Today, @triciawh1te and I are releasing some very exciting new polling on ICBMs.

Our results show that Americans are over…",LBuitta,1357386255714115587,2021-02-04 17:51:17,
3601,"RT @AlexandraTEvans: Today, @RANDCorporation released The Air War Against The Islamic State, describing &amp; evaluating the role of airpower i…",LBuitta,1357069269822033923,2021-02-03 20:51:41,
3602,RT @IST_org: 📢The existence of #disinformation &amp; the pace at which we consume information presents enormous challenges to  #democracy. Join…,LBuitta,1356411441990004738,2021-02-02 01:17:43,
3603,@nayyeroar Yep.,LBuitta,1355242388508332036,2021-01-29 19:52:19,
3604,"It was awesome to join one of my favorite Chicago teachers in the classroom, Lauren Evoy, to discuss disinfo. Laure… https://t.co/1g7GGU5gh1",LBuitta,1355006374313390083,2021-01-29 04:14:29,
3605,RT @blondenukegirl: Publishing the @crdfglobal Breaking Barriers Best Practices Guide and coauthoring a book chapter with @RichardMNephew i…,LBuitta,1354802164225486848,2021-01-28 14:43:01,
